trial0result,trial1result,trial2result,trial3result,trial4result,trial5result,trial6result,trial7result,trial8result,trial9result,trial10result,trial11result,trial12result,trial13result,trial14result,trial15result
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1
1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1
0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0
1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1
0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1
1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0
1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0
0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1
1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0
1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1
1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0
0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1
0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0
1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1
1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1
0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0
1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0
0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1
0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1
0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1
0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1
1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1
0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0
1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1
0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0
1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1
1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1
1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0
1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1
0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1
1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1
0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1
1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1
0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0
1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1
0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1
0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1
0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0
1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0
0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0
0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1
1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1
0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1
1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1
0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0
1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1
1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1
1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0
0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0
1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1
1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0
1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0
1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0
0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1
1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1
1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1
1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1
1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1
1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0
0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0
1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0
0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1
1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1
1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1
1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0
1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1
1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1
1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1
1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1
0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1
0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1
1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1
1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0
1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1
1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1
0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1
1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1
1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1
1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1
0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0
0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1
1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0
0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1
1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0
1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1
0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1
1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1
0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1
1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0
0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1
0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1
0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1
0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0
1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0
1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1
1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0
1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1
1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1
1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0
1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1
1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1
1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0
1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1
1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0
0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1
0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0
0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1
0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1
0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0
0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1
0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0
1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0
1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1
1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1
0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1
0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0
0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1
1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0
1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1
0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0
0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1
1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0
